"team","G1","S1","G2","S2","G3","S3","G4","S4","G5","S5","G6","S6","G7","S7","G8","S8","G9","S9","G10","S10"
1,115,15,58,15,14,10,10,4,70,20,50,5,300,50,160,40,8,2,88,28
2,125,25,30,30,90,50,25,20,90,30,30,60,360,200,200,50,8.8,0.2,50,30
3,147,5,75,15,35,10,70,35,95,30,50,10,270,150,140,40,8.5,0.5,70,35
4,65,15,70,5,35,5,15,5,80,15,45,10,500,200,250,50,8,2,10,10
5,140,20,70,50,50,20,100,100,100,30,30,20,500,200,150,50,10,3,60,20
6,143,5,77,7,30,15,55,10,100,25,50,5,250,50,260,100,8.5,0.5,96,3
7,145,15,75,10,6,4,3,1.5,160,20,55,10,246,30,175,20,8,1.5,65,15
8,120,15,50,10,30,10,5,1.5,65,10,100,30,320,40,200,40,7,1.5,100,20
9,142,8,78,5,25,5,20,10,95,10,42,5,305,2,105,20,8.5,1,100,100
10,140,20,10,10,20,13,100,20,160,20,35,30,400,250,250,50,9.5,2,18,20
11,200,50,5,5,50,25,200,100,50,20,50,20,200,100,100,50,8,3,12,5
12,110,20,34,40,15,10,25,5,132,30,110,30,400,50,150,60,4.5,3,35,30
13,124,20,60,20,15,10,50,20,100,10,20,10,300,100,100,50,8.1,0.2,40,10
14,120,15,40,20,40,10,20,10,90,20,8,3,200,30,150,30,10,2,60,20
15,150,35,20,20,35,30,100,95,120,60,120,100,400,300,200,100,7,4,50,20
16,135,10,35,20,35,15,100,50,70,15,200,50,40,15,190,30,9.5,1,55,10
17,155,10,62,7,55,10,1500,200,102,7,7,2,330,30,85,15,15,2.5,20,10
18,120,13,80,40,26,5,28,10,100,20,100,50,820,100,130,15,4,2,86,20
19,145,15,52,40,50,50,5,10,80,30,80,70,300,200,200,90,7.5,10,60,60
20,120,10,30,60,50,25,50,50,40,15,50,30,100,50,300,100,8,4,44,56
21,135,6,75,8,40,7,60,8,80,8,50,8,300,5,125,8,6,7,15,8
22,145,10,70,20,30,12,40,30,65,20,30,15,400,100,150,50,8.4,0.3,60,30
23,145,8,60,30,25,10,50,10,16j0,40,50,20,300,50,150,20,8.5,0.7,90,15
24,145,10,88,18,50,15,35,12.5,85,15,150,50,369,41,160,20,8.72,0.1,100,25
25,135,5,35,10,41,10,10,5,115,20,200,50,300,30,160,40,8.7,0.2,80,15
26,160,40,80,10,20,10,5,5,80,40,50,20,600,250,120,40,9,0.5,100,50
