"year","time","time_seconds","athlete","place"
1970,"4:12.2",252.2,NA,"Berlin"
1971,"4:09.6",249.6,NA,"Helsinki"
1972,"4:01.4",241.4,NA,"Munich"
1973,"4:04.6",244.6,NA,"Potsdam"
1974,"4:02.25",242.25,NA,"Rome"
1975,"4:06.0",246,NA,"Moscow"
1976,"3:56.0",236,NA,"Podolsk"
1977,"4:02.65",242.65,NA,"Bucharest"
1978,"3:59.01",239.01,NA,"Prague"
1979,"3:57.4",237.4,NA,"Athens"
1980,"3:52.47",232.47,NA,"Zürich"
1981,"3:57.78",237.78,NA,"Budapest"
1982,"3:54.23",234.23,NA,"Kyiv"
1983,"3:57.12",237.12,NA,"Stockholm"
1984,"3:56.63",236.63,NA,"Prague"
1985,"3:57.24",237.24,NA,"Brussels"
1986,"3:56.7",236.7,NA,"Bucharest"
1987,"3:58.56",238.56,NA,"Rome"
1988,"3:53.96",233.96,NA,"Seoul"
1989,"3:59.23",239.23,NA,"Nice"
1990,"3:58.69",238.69,NA,"Villeneuve-d'Ascq"
2000,"3:57.40",237.4,"Suzy Favor-Hamilton","Oslo"
2001,"3:59.35",239.35,"Violeta Szekely","Monaco"
2002,"3:57.75",237.75,"Süreyya Ayhan","Brussels"
2003,"3:55.33",235.33,"Süreyya Ayhan","Brussels"
2004,"3:57.90",237.9,"Kelly Holmes","Athens"
2005,"3:56.79",236.79,"Maryam Yusuf Jamal","Rieti"
2006,"3:55.68",235.68,"Yuliya Fomenko","Saint-Denis"
2007,"3:58.75",238.75,"Maryam Yusuf Jamal","Osaka"
2008,"3:59.75",239.75,"Gelete Burka","Valencia"
2009,"3:56.55",236.55,"Maryam Yusuf Jamal","Rome"
2010,"3:57.65",237.65,"Anna Alminova","Saint-Denis"
2011,"4:00.06",240.06,"Morgan Uceny","Brussels"
2012,"3:56.54",236.54,"Abeba Aregawi","Rome"
2013,"3:56.60",236.6,"Abeba Aregawi","Doha"
2014,"3:55.17",235.17,"Genzebe Dibaba","Karlsruhe"
2015,"3:50.07",230.07,"Genzebe Dibaba","Monaco"
2016,"3:55.22",235.22,"Laura Muir","Saint-Denis"
2017,"3:56.14",236.14,"Sifan Hassan","Hengelo"
2018,"3:56.68",236.68,"Genzebe Dibaba","Chorzów"
2019,"3:51.95",231.95,"Sifan Hassan","Doha"
2020,"3:57.40",237.4,"Laura Muir","Berlin"
2021,"3:51.07",231.07,"Faith Kipyegon","Monaco"
2022,"3:50.37",230.37,"Faith Kipyegon","Monaco"
2023,"3:49.11",229.11,"Faith Kipyegon","Florence"
2024,"3:49.04",229.04,"Faith Kipyegon","Paris"
2025,"3:48.68",228.68,"Faith Kipyegon","Eugene"
